2026-07-03 12:52:16,786 | INFO | LOGGER OK
2026-07-08 22:22:23,275 | INFO | Logger OK
2026-07-09 01:52:52,268 | INFO | ============================================================
2026-07-09 01:52:52,269 | INFO | Binance Futures RSI Scanner v1.0
2026-07-09 01:52:52,271 | INFO | ============================================================
2026-07-09 01:52:52,273 | INFO | Начало нового цикла сканирования
2026-07-09 01:53:03,102 | INFO | Найдено сигналов: 16
2026-07-09 01:53:03,107 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 01:53:03,109 | INFO | Уже отправлен: TAUSDT
2026-07-09 01:53:03,110 | INFO | Уже отправлен: TACUSDT
2026-07-09 01:53:03,111 | INFO | Уже отправлен: AINUSDT
2026-07-09 01:53:03,112 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 01:53:03,113 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 01:53:03,114 | INFO | Уже отправлен: JUPUSDT
2026-07-09 01:53:03,115 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 01:53:03,115 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 01:53:03,116 | INFO | Уже отправлен: CYSUSDT
2026-07-09 01:53:03,117 | INFO | Уже отправлен: 0GUSDT
2026-07-09 01:53:03,118 | INFO | Уже отправлен: UBUSDT
2026-07-09 01:53:03,119 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 01:53:03,120 | INFO | Уже отправлен: ACUUSDT
2026-07-09 01:53:03,121 | INFO | Уже отправлен: HYPERUSDT
2026-07-09 01:53:03,122 | INFO | Уже отправлен: LABUSDT
2026-07-09 01:53:03,122 | INFO | Цикл завершен за 10.85 сек
2026-07-09 01:53:03,122 | INFO | Следующая проверка через 60 секунд
2026-07-09 01:54:03,165 | INFO | Начало нового цикла сканирования
2026-07-09 01:54:13,884 | INFO | Найдено сигналов: 16
2026-07-09 01:54:13,890 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 01:54:13,892 | INFO | Уже отправлен: TAUSDT
2026-07-09 01:54:13,893 | INFO | Уже отправлен: TACUSDT
2026-07-09 01:54:13,894 | INFO | Уже отправлен: AINUSDT
2026-07-09 01:54:13,895 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 01:54:13,896 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 01:54:13,897 | INFO | Уже отправлен: JUPUSDT
2026-07-09 01:54:13,898 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 01:54:13,899 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 01:54:13,900 | INFO | Уже отправлен: CYSUSDT
2026-07-09 01:54:13,901 | INFO | Уже отправлен: 0GUSDT
2026-07-09 01:54:13,901 | INFO | Уже отправлен: UBUSDT
2026-07-09 01:54:13,902 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 01:54:13,903 | INFO | Уже отправлен: ACUUSDT
2026-07-09 01:54:13,904 | INFO | Уже отправлен: HYPERUSDT
2026-07-09 01:54:13,905 | INFO | Уже отправлен: LABUSDT
2026-07-09 01:54:13,905 | INFO | Цикл завершен за 10.74 сек
2026-07-09 01:54:13,905 | INFO | Следующая проверка через 60 секунд
2026-07-09 01:55:13,947 | INFO | Начало нового цикла сканирования
2026-07-09 01:55:24,621 | INFO | Найдено сигналов: 16
2026-07-09 01:55:24,625 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 01:55:24,627 | INFO | Уже отправлен: TAUSDT
2026-07-09 01:55:24,628 | INFO | Уже отправлен: TACUSDT
2026-07-09 01:55:24,629 | INFO | Уже отправлен: AINUSDT
2026-07-09 01:55:24,630 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 01:55:24,631 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 01:55:24,632 | INFO | Уже отправлен: JUPUSDT
2026-07-09 01:55:24,632 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 01:55:24,633 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 01:55:24,634 | INFO | Уже отправлен: CYSUSDT
2026-07-09 01:55:24,635 | INFO | Уже отправлен: 0GUSDT
2026-07-09 01:55:24,636 | INFO | Уже отправлен: UBUSDT
2026-07-09 01:55:24,637 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 01:55:24,638 | INFO | Уже отправлен: ACUUSDT
2026-07-09 01:55:24,639 | INFO | Уже отправлен: HYPERUSDT
2026-07-09 01:55:24,640 | INFO | Уже отправлен: LABUSDT
2026-07-09 01:55:24,640 | INFO | Цикл завершен за 10.69 сек
2026-07-09 01:55:24,640 | INFO | Следующая проверка через 60 секунд
2026-07-09 01:56:24,662 | INFO | Начало нового цикла сканирования
2026-07-09 01:56:35,024 | INFO | Найдено сигналов: 16
2026-07-09 01:56:35,030 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 01:56:35,031 | INFO | Уже отправлен: TAUSDT
2026-07-09 01:56:35,033 | INFO | Уже отправлен: TACUSDT
2026-07-09 01:56:35,034 | INFO | Уже отправлен: AINUSDT
2026-07-09 01:56:35,035 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 01:56:35,036 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 01:56:35,037 | INFO | Уже отправлен: JUPUSDT
2026-07-09 01:56:35,038 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 01:56:35,039 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 01:56:35,040 | INFO | Уже отправлен: CYSUSDT
2026-07-09 01:56:35,041 | INFO | Уже отправлен: 0GUSDT
2026-07-09 01:56:35,042 | INFO | Уже отправлен: UBUSDT
2026-07-09 01:56:35,043 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 01:56:35,044 | INFO | Уже отправлен: ACUUSDT
2026-07-09 01:56:35,044 | INFO | Уже отправлен: HYPERUSDT
2026-07-09 01:56:35,045 | INFO | Уже отправлен: LABUSDT
2026-07-09 01:56:35,046 | INFO | Цикл завершен за 10.38 сек
2026-07-09 01:56:35,046 | INFO | Следующая проверка через 60 секунд
2026-07-09 01:59:37,365 | INFO | ============================================================
2026-07-09 01:59:37,365 | INFO | Binance Futures RSI Scanner v1.0
2026-07-09 01:59:37,366 | INFO | ============================================================
2026-07-09 01:59:47,189 | INFO | Проверено монет: 652
2026-07-09 01:59:47,312 | INFO | Уже отправлен: JUPUSDT
2026-07-09 01:59:47,365 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 01:59:47,371 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 01:59:47,393 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 01:59:47,395 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 01:59:47,402 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 01:59:47,408 | INFO | Уже отправлен: HYPERUSDT
2026-07-09 01:59:47,437 | INFO | Уже отправлен: AINUSDT
2026-07-09 01:59:47,439 | INFO | Уже отправлен: TACUSDT
2026-07-09 01:59:47,441 | INFO | Уже отправлен: TAUSDT
2026-07-09 01:59:47,463 | INFO | Уже отправлен: UBUSDT
2026-07-09 01:59:47,465 | INFO | Уже отправлен: 0GUSDT
2026-07-09 01:59:47,484 | INFO | Уже отправлен: LABUSDT
2026-07-09 01:59:47,499 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 01:59:47,501 | INFO | Уже отправлен: CYSUSDT
2026-07-09 01:59:47,511 | INFO | Уже отправлен: ACUUSDT
2026-07-09 01:59:47,611 | INFO | ------------------------------------------------------------
2026-07-09 01:59:47,611 | INFO | Новых сигналов : 0
2026-07-09 01:59:47,612 | INFO | Пропущено       : 16
2026-07-09 01:59:47,612 | INFO | Сброшено        : 0
2026-07-09 01:59:47,612 | INFO | Время цикла     : 10.24 сек
2026-07-09 01:59:47,612 | INFO | ------------------------------------------------------------
2026-07-09 02:00:58,017 | INFO | Проверено монет: 652
2026-07-09 02:00:58,213 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 02:00:58,222 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 02:00:58,243 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 02:00:58,245 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 02:00:58,252 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 02:00:58,262 | INFO | Сигнал сброшен: HYPERUSDT
2026-07-09 02:00:58,294 | INFO | Уже отправлен: AINUSDT
2026-07-09 02:00:58,296 | INFO | Уже отправлен: TACUSDT
2026-07-09 02:00:58,298 | INFO | Уже отправлен: TAUSDT
2026-07-09 02:00:58,322 | INFO | Уже отправлен: UBUSDT
2026-07-09 02:00:58,347 | INFO | Уже отправлен: LABUSDT
2026-07-09 02:00:58,366 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 02:00:58,368 | INFO | Уже отправлен: CYSUSDT
2026-07-09 02:00:58,380 | INFO | Сигнал сброшен: ACUUSDT
2026-07-09 02:00:58,491 | INFO | ------------------------------------------------------------
2026-07-09 02:00:58,492 | INFO | Новых сигналов : 0
2026-07-09 02:00:58,492 | INFO | Пропущено       : 12
2026-07-09 02:00:58,492 | INFO | Сброшено        : 2
2026-07-09 02:00:58,492 | INFO | Время цикла     : 10.87 сек
